"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg10_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_145_sspa%3Fdchild%3D1%26qid%3D1592555751%26s%3Dkitchen%26sr%3D1-145-spons%26psc%3D1&qualifier=1592555751&id=7034413263333022&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg10_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_146_sspa%3Fdchild%3D1%26qid%3D1592555751%26s%3Dkitchen%26sr%3D1-146-spons%26psc%3D1&qualifier=1592555751&id=7034413263333022&widgetName=sp_atf_browse"
"LG PuriCare AS60GDWT0 WiFi Enabled Air Purifier (White)","/LG-PuriCare-AS60GDWT0-Enabled-Purifier/dp/B072K1X1YJ/ref=sr_1_147?dchild=1&qid=1592555751&s=kitchen&sr=1-147"
"Olansi Freshener & Odors Eliminator - Ionizer Filter Car Air Purifier / Air Freshener - Removes Dust , Pollen , Smoke & Bad Odors , Kills Harmful Viruses","/Olansi-Freshener-Odors-Eliminator-Purifier/dp/B075ZQKRN5/ref=sr_1_148?dchild=1&qid=1592555751&s=kitchen&sr=1-148"
"Panasonic Nanoe F-PXJ30AHD 230V Air Purifier (Grey)","/Panasonic-Nanoe-F-PXJ30AHD-230V-Purifier/dp/B00NSJBEYQ/ref=sr_1_149?dchild=1&qid=1592555751&s=kitchen&sr=1-149"
"Honeywell Air Purifier i9 (Gold)","/Honeywell-Air-Purifier-i9-Gold/dp/B07JZ2NPMB/ref=sr_1_150?dchild=1&qid=1592555751&s=kitchen&sr=1-150"
"Kurtzy Non-Electric Air Purifying Activated Charcoal Bags, Deodorizer and Dehumidifier for Car, Kitchen, Wardrobe, Shoe Rack, Fridge and Pet Cages (140 gm)","/Kurtzy-Non-Electric-Purifying-Deodorizer-Dehumidifier/dp/B088HCSZ23/ref=sr_1_151?dchild=1&qid=1592555751&s=kitchen&sr=1-151"
"Frenchfil High Performance Compatible 1000 Series Filter Set Fit For Philips AC1215 /1217 Nano Protect HEPA + Activated Carbon Filter Set (FY1410+FY1413)","/Frenchfil-Performance-Compatible-Philips-Activated/dp/B07V4TBSGL/ref=sr_1_152?dchild=1&qid=1592555751&s=kitchen&sr=1-152"
"Aeroguard AP 700 Dx Air Purifier from Eureka Forbes with 6 Stages of Filtration (FilterMaxx Technology), HINI Swine Flu Resistant Filter, Smart Remote Control with PM2.5 Digital Display","/Aeroguard-Filtration-FilterMaxx-Technology-Resistant/dp/B087513CBQ/ref=sr_1_153?dchild=1&qid=1592555751&s=kitchen&sr=1-153"
"Frenchfil High Performance Compatible 1000 Series Filter Fit For Philips AC1215 Nano Protect Activated Carbon Filter FY1413","/Frenchfil-Performance-Compatible-Philips-Activated/dp/B07WG9KF4V/ref=sr_1_154?dchild=1&qid=1592555751&s=kitchen&sr=1-154"
"Philips AC2887/20 High Efficiency Air purifier, removes 99.97% airborne pollutants with numerical 2.5 display, ideal for master bedroom","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg10_1?ie=UTF8&adId=A0830653G8MW9PCTYWJF&url=%2FPhilips-AeraSense-AC2887-20-Purifier%2Fdp%2FB01KCSGBU2%2Fref%3Dsr_1_155_sspa%3Fdchild%3D1%26qid%3D1592555751%26s%3Dkitchen%26sr%3D1-155-spons%26psc%3D1&qualifier=1592555751&id=7034413263333022&widgetName=sp_mtf_browse"
