"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg8_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_113_sspa%3Fdchild%3D1%26qid%3D1592555409%26s%3Dkitchen%26sr%3D1-113-spons%26psc%3D1&qualifier=1592555409&id=5516879478629490&widgetName=sp_atf_browse"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg8_2?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_114_sspa%3Fdchild%3D1%26qid%3D1592555409%26s%3Dkitchen%26sr%3D1-114-spons%26psc%3D1&qualifier=1592555409&id=5516879478629490&widgetName=sp_atf_browse"
"SHARP-Air Purifier (FU-A28E) Plasmacluster technology with HEPA filter & Pre-FilterMesh ( Coverage: Up to 160 sq. ft. )","/Sharp-SHARP-Air-Purifier-FU-A28E/dp/B000E8ZZKI/ref=sr_1_115?dchild=1&qid=1592555409&s=kitchen&sr=1-115"
"French High Performance Compatible 1000 Series Filter For Philips AC1215 / AC 1217 Nano Protect HEPA Filter (FY1410)","/French-Performance-Compatible-Philips-Protect/dp/B0815B2WJM/ref=sr_1_116?dchild=1&qid=1592555409&s=kitchen&sr=1-116"
"Daikin MC76 Room Air Purifier (White)","/Daikin-MC76-Room-Purifier-White/dp/B07JWKYZS2/ref=sr_1_117?dchild=1&qid=1592555409&s=kitchen&sr=1-117"
"Philips AC3257 Air Purifier","/Philips-AC3257-Air-Purifier/dp/B07JBC7CCP/ref=sr_1_118?dchild=1&qid=1592555409&s=kitchen&sr=1-118"
"NuvoMed Car Air Purifier with Hepa Filter and inbuilt Ionizer (Black)","/NuvoMed-Purifier-Filter-inbuilt-Ionizer/dp/B07YNSLWSK/ref=sr_1_119?dchild=1&qid=1592555409&s=kitchen&sr=1-119"
"TruSens Z-2000 Air Purifier | Remote SensorPod | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Medium)","/TruSens-SensorPod-Filtration-Sterilization-Allergens/dp/B07W8J3BCW/ref=sr_1_120?dchild=1&qid=1592555409&s=kitchen&sr=1-120"
"SToK HEPA Air Purifier 40 Watt with 6 Advanced Filtration System & Nanoe Technology 325 sq. ft, 210m3/hr. air Flow - (1 Year Warranty)","/Stok-Purifier-Advanced-Filtration-Technology/dp/B017H56TTQ/ref=sr_1_121?dchild=1&qid=1592555409&s=kitchen&sr=1-121"
"Honeywell Air Touch HAC35M1101G Room Air Purifier (Champagne Gold)","/Honeywell-Touch-HAC35M1101G-Purifier-Champagne/dp/B016BDYMVC/ref=sr_1_122?dchild=1&qid=1592555409&s=kitchen&sr=1-122"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg8_1?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_123_sspa%3Fdchild%3D1%26qid%3D1592555409%26s%3Dkitchen%26sr%3D1-123-spons%26psc%3D1&qualifier=1592555409&id=5516879478629490&widgetName=sp_mtf_browse"
