"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg11_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_161_sspa%3Fdchild%3D1%26qid%3D1592566945%26s%3Dkitchen%26sr%3D1-161-spons%26psc%3D1&qualifier=1592566945&id=3696554745511712&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg11_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_162_sspa%3Fdchild%3D1%26qid%3D1592566945%26s%3Dkitchen%26sr%3D1-162-spons%26psc%3D1&qualifier=1592566945&id=3696554745511712&widgetName=sp_atf_browse"
"Nirgandha Breathable Fabric Activated Charcoal Bag (Nirgandha01)","/Nirgandha-Breathable-Activated-Charcoal-Nirgandha01/dp/B07QYVLJC6/ref=sr_1_163?dchild=1&qid=1592566945&s=kitchen&sr=1-163"
"PranaVital Smart Multifunctional Air Purifier for Car","/PranaVital-Smart-Multifunctional-Air-Purifier/dp/B07RZYHWZT/ref=sr_1_164?dchild=1&qid=1592566945&s=kitchen&sr=1-164"
"Moonbow by Hindware  AP-A8506UIA 55-Watt Air Purifier (White)","/Moonbow-Hindware-AP-A8506UIA-55-Watt-Purifier/dp/B0191A2C2S/ref=sr_1_165?dchild=1&qid=1592566945&s=kitchen&sr=1-165"
"AGMAir-O-Matic Air Purifier/air Humidifier/air Revitalizer Aroma Diffuser For Homes,Offices Model# Hdl-518","/AGMAir-Purifier-Humidifier-Revitalizer-Diffuser/dp/B07FQS186X/ref=sr_1_166?dchild=1&qid=1592566945&s=kitchen&sr=1-166"
"Panasonic Paper TK-DCP32-DA (P159P3C0100738)","/Panasonic-Paper-TK-DCP32-DA-P159P3C0100738/dp/B01MTFNRAW/ref=sr_1_167?dchild=1&qid=1592566945&s=kitchen&sr=1-167"
"Prana Air Purifier for Anti Pollution PM2.5 with 3 Layers HEPA Filter Plus Activated Carbon","/Prana-Air-P1-Purifier/dp/B07CS16YD1/ref=sr_1_168?dchild=1&qid=1592566945&s=kitchen&sr=1-168"
"Sharp IG-GC2E-N Plasmacluster Air Purifier (Champagne Gold)","/Sharp-IG-GC2E-N-Plasmacluster-Purifier-Champagne/dp/B073TLDRHG/ref=sr_1_169?dchild=1&qid=1592566945&s=kitchen&sr=1-169"
"KR UV Disinfection lamp 220V38W Wavelength 253nm + Ozone Disinfection Sterilization in Addition to Mites, Effective Virus Suppression, air Purification, Remote Control, Timing Table lamp Type","/KR-Disinfection-Sterilization-Suppression-Purification/dp/B0865ZDCKM/ref=sr_1_170?dchild=1&qid=1592566945&s=kitchen&sr=1-170"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg11_1?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_171_sspa%3Fdchild%3D1%26qid%3D1592566945%26s%3Dkitchen%26sr%3D1-171-spons%26psc%3D1&qualifier=1592566945&id=3696554745511712&widgetName=sp_mtf_browse"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg11_2?ie=UTF8&adId=A0910547J0ZYC5KQF7EY&url=%2FSharp-Purifier-FP-F40E-W-Filter-Cluster%2Fdp%2FB01B0DT29A%2Fref%3Dsr_1_172_sspa%3Fdchild%3D1%26qid%3D1592566945%26s%3Dkitchen%26sr%3D1-172-spons%26psc%3D1&qualifier=1592566945&id=3696554745511712&widgetName=sp_mtf_browse"
"CLAIR Portable Room Air Purifier","/CLAIR-Portable-Room-Air-Purifier/dp/B07JBW27R9/ref=sr_1_173?dchild=1&qid=1592566945&s=kitchen&sr=1-173"
"Zeyu Shoes Dryer For Smelly Shoes Wet Shoes Cold Shoes Dehumidifies","/Zeyu-Shoes-Dryer-Smelly-Dehumidifies/dp/B07HH6NDVM/ref=sr_1_174?dchild=1&qid=1592566945&s=kitchen&sr=1-174"
"Mini Moso Natural Air Purifying Bags, Shoe Deodorizer and Odor Eliminator. 50gm * 2 (Two Bags Per Package)","/Natural-Purifying-Deodorizer-Eliminator-Package/dp/B0099K6OVQ/ref=sr_1_175?dchild=1&qid=1592566945&s=kitchen&sr=1-175"
"Philips True HEPA Filter AC4154/00 for Philips Air Purifier Model AC4372","/Philips-Filter-AC4154-00-Purifier/dp/B01415N43Y/ref=sr_1_176?dchild=1&qid=1592566945&s=kitchen&sr=1-176"
"Blueair Cabin HEPA Air Purifier With Bluetooth & Integrated Sensors For Cars, Vans & SUVs (P2i)","/Blueair-Purifier-Bluetooth-Integrated-Sensors/dp/B07QRFPCHV/ref=sr_1_177?dchild=1&qid=1592566945&s=kitchen&sr=1-177"
"Electron Activate Charcoal Non Electric Air Purifier (100% Eco-Friendly Packaging) - 100gm, Khaki","/Electron-Activate-Charcoal-Eco-Friendly-Packaging/dp/B07WSCMPBJ/ref=sr_1_178?dchild=1&qid=1592566945&s=kitchen&sr=1-178"
