"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg20_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_305_sspa%3Fdchild%3D1%26qid%3D1592567824%26s%3Dkitchen%26sr%3D1-305-spons%26psc%3D1&qualifier=1592567824&id=5300592039724563&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg20_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_306_sspa%3Fdchild%3D1%26qid%3D1592567824%26s%3Dkitchen%26sr%3D1-306-spons%26psc%3D1&qualifier=1592567824&id=5300592039724563&widgetName=sp_atf_browse"
"Philips AC4014 36-Watt Air Purifier (White)","/Philips-AC4014-36-Watt-Purifier-White/dp/B00MILS33U/ref=sr_1_307?dchild=1&qid=1592567824&s=kitchen&sr=1-307"
"DR. MOREPEN 49W Room Air Purifier with HEPA Filter, Effective Area 400Sq.ft. APF-01 (White)","/DR-MOREPEN-Purifier-Effective-400Sq-ft/dp/B07VD3PTNS/ref=sr_1_308?dchild=1&qid=1592567824&s=kitchen&sr=1-308"
"Eureka Forbes Dr. Aeroguard SCPR 200 Air Purifier, White & Black","/Eureka-Forbes-Aeroguard-Purifier-White/dp/B07F67R2Q3/ref=sr_1_309?dchild=1&qid=1592567824&s=kitchen&sr=1-309"
"Philips AC4372/10 63-Watt Air Purifier (White)","/Philips-AC4372-63-Watt-Purifier-White/dp/B00MILS43E/ref=sr_1_310?dchild=1&qid=1592567824&s=kitchen&sr=1-310"
"Crompton Ionic Pro 10-Watt Air Purifier (Black)","/Crompton-Ionic-Pro-10-Watt-Purifier/dp/B071YTMV9K/ref=sr_1_311?dchild=1&qid=1592567824&s=kitchen&sr=1-311"
"Panasonic F-PBJ30ARD 230 Volt Air Purifier (Red)","/Panasonic-F-PBJ30ARD-230-Volt-Purifier/dp/B00NSJBCI4/ref=sr_1_312?dchild=1&qid=1592567824&s=kitchen&sr=1-312"
"Kajah Fresh Activated Carbon Deodorizer for Bathroom, Kitchen, Living Room and Car","/Kajah-Fresh-Activated-Deodorizer-Bathroom/dp/B07KHQF38L/ref=sr_1_313?dchild=1&qid=1592567824&s=kitchen&sr=1-313"
"Replacement HEPA Filter for JSB HF121 Air Purifier","/Replacement-Filter-JSB-HF121-Purifier/dp/B07G6KFC27/ref=sr_1_314?dchild=1&qid=1592567824&s=kitchen&sr=1-314"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg20_1?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_315_sspa%3Fdchild%3D1%26qid%3D1592567824%26s%3Dkitchen%26sr%3D1-315-spons%26psc%3D1&qualifier=1592567824&id=5300592039724563&widgetName=sp_mtf_browse"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg20_2?ie=UTF8&adId=A0910547J0ZYC5KQF7EY&url=%2FSharp-Purifier-FP-F40E-W-Filter-Cluster%2Fdp%2FB01B0DT29A%2Fref%3Dsr_1_316_sspa%3Fdchild%3D1%26qid%3D1592567824%26s%3Dkitchen%26sr%3D1-316-spons%26psc%3D1&qualifier=1592567824&id=5300592039724563&widgetName=sp_mtf_browse"
"Eveready AP322 40-Watt Air Purifier with HEPA Filter (Golden)","/Eveready-AP322-40-Watt-Purifier-Filter/dp/B06XHH3X1L/ref=sr_1_317?dchild=1&qid=1592567824&s=kitchen&sr=1-317"
"Ooze H3O Air Series Ve2 With Aerosense And Hepa Cluster 7 Stage Purification Technology, ( Area Coverage - 1000 Sqft )","/Aerosense-Cluster-Purification-Technology-Coverage/dp/B01N38ASWT/ref=sr_1_318?dchild=1&qid=1592567824&s=kitchen&sr=1-318"
"Tropicool HBA-69R Air Purifier and Ionizer","/Tropicool-HBA-69R-Air-Purifier-Ionizer/dp/B00N3Y6T9G/ref=sr_1_319?dchild=1&qid=1592567824&s=kitchen&sr=1-319"
"Carrier Klarwind WiFi and Alexa Enabled Air Purifier for Smart Homes with True HEPA H13 Filter & Smart LED and Digital Display (468 CADR, 700 sq ft.)","/Carrier-Klarwind-Enabled-Purifier-Digital/dp/B0823SS88P/ref=sr_1_320?dchild=1&qid=1592567824&s=kitchen&sr=1-320"
"VP STORES Car & Office Air Purifier Portable Installation 12V Ozone Air Purifier with free Filter, Aromatherapy, Car Charger and USB Cable By Backber","/VP-STORES-Purifier-Installation-Aromatherapy/dp/B07TP9CZD3/ref=sr_1_321?dchild=1&qid=1592567824&s=kitchen&sr=1-321"
"Purita Elegance PC1912 68W Room Air Purifier with Very High CADR :308 M3/Hr and Digital Air Quality Display. Perfect for Large Rooms Upto 400 SQFT+…","/Purita-Elegance-PC1912-Room-Purifier/dp/B077PS7W8Q/ref=sr_1_322?dchild=1&qid=1592567824&s=kitchen&sr=1-322"
"Panasonic F-VXF35MAD Humidifying Air Purifier (Metallic Blue)","/Panasonic-F-VXF35MAD-Humidifying-Purifier-Metallic/dp/B00NSJBJ4Q/ref=sr_1_323?dchild=1&qid=1592567824&s=kitchen&sr=1-323"
"Puffin™ Air-O-Matic Air Purifier Humidifier Aroma Diffuser For Homes,Offices Model# Hdl-518","/PuffinTM-Purifier-Humidifier-Diffuser-Offices/dp/B07H1XBZY8/ref=sr_1_324?dchild=1&qid=1592567824&s=kitchen&sr=1-324"
"TruSens Z-3000 Air Purifier | Remote SensorPod | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Large)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg20_1?ie=UTF8&adId=A10270163VKRZ9Z7VD3QO&url=%2FTruSens-SensorPod-Filtration-Sterilization-Allergens%2Fdp%2FB07W3NJ8X8%2Fref%3Dsr_1_325_sspa%3Fdchild%3D1%26qid%3D1592567824%26s%3Dkitchen%26sr%3D1-325-spons%26psc%3D1&qualifier=1592567824&id=5300592039724563&widgetName=sp_btf_browse"
"TruSens Z-1000 Air Purifier | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Small)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg20_2?ie=UTF8&adId=A0615935EHSOAIPFR57U&url=%2FTruSens-Purifier-Filtration-Sterilization-Allergens%2Fdp%2FB07T91STDY%2Fref%3Dsr_1_326_sspa%3Fdchild%3D1%26qid%3D1592567824%26s%3Dkitchen%26sr%3D1-326-spons%26psc%3D1&qualifier=1592567824&id=5300592039724563&widgetName=sp_btf_browse"
