"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg4_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26qid%3D1592554745%26s%3Dkitchen%26sr%3D1-49-spons%26psc%3D1&qualifier=1592554745&id=6991642212443332&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg4_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26qid%3D1592554745%26s%3Dkitchen%26sr%3D1-50-spons%26psc%3D1&qualifier=1592554745&id=6991642212443332&widgetName=sp_atf_browse"
"Phresh Air Purifier and Dehumidifier for Car,Kitchen,Living Room Bathroom,Drawer,Fridge, Freezer, gym bag,and storage area (100gm, Olive Green)","/Phresh-Purifier-Dehumidifier-Kitchen-Bathroom/dp/B07TYMD8D1/ref=sr_1_51?dchild=1&qid=1592554745&s=kitchen&sr=1-51"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-J40M-W | White","/SHARP-AIRPURIFIER-2018-FP-J40M-W-320-SQ/dp/B07KXPRNKJ/ref=sr_1_52?dchild=1&qid=1592554745&s=kitchen&sr=1-52"
"Dr. Purifier Non Electric Organic Air Purifier, Deodorizer and Dehumidifier Long Lasting for Cars, Bathrooms and Kitchen (150gm, Pack of 1)","/Dr-Purifier-Deodorizer-Dehumidifier-Bathrooms/dp/B07XD8CZSV/ref=sr_1_53?dchild=1&qid=1592554745&s=kitchen&sr=1-53"
"TREETOP WITH DEVICE Plastic Air Purifier for Home with True Hepa Active Charcoal Filter","/TREETOP-DEVICE-Plastic-Purifier-Charcoal/dp/B07FPGJ1G1/ref=sr_1_54?dchild=1&qid=1592554745&s=kitchen&sr=1-54"
"TruSens Z-1000 Air Purifier | 360 HEPA Filtration with Dupont Filter | UV Light Sterilization Kills Bacteria Germs Odor Allergens in Home | Dual Airflow for Full Coverage (Small)","/TruSens-Purifier-Filtration-Sterilization-Allergens/dp/B07T91STDY/ref=sr_1_55?dchild=1&qid=1592554745&s=kitchen&sr=1-55"
"Cerina Air Purifier White with 4-Stage HEPA, Anti-Bacterial, Carbon Filtration with Plasma and Ion Purification","/Cerina-Purifier-Anti-Bacterial-Filtration-Purification/dp/B0868M85RQ/ref=sr_1_56?dchild=1&qid=1592554745&s=kitchen&sr=1-56"
"AirTamer Negative Ion Generator Rechargeable Personal Air Purifier A310, Black","/AirTamer-Negative-Generator-Rechargeable-A310/dp/B00KSVJH50/ref=sr_1_57?dchild=1&qid=1592554745&s=kitchen&sr=1-57"
"Moonbow by Hindware Moonbow AP-A8400UIN 55-Watt Air Purifier (White)","/Moonbow-Hindware-AP-A8400UIN-55-Watt-Purifier/dp/B0191A2C50/ref=sr_1_58?dchild=1&qid=1592554745&s=kitchen&sr=1-58"
"Philips AC2887/20 High Efficiency Air purifier, removes 99.97% airborne pollutants with numerical 2.5 display, ideal for master bedroom","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg4_1?ie=UTF8&adId=A0830653G8MW9PCTYWJF&url=%2FPhilips-AeraSense-AC2887-20-Purifier%2Fdp%2FB01KCSGBU2%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26qid%3D1592554745%26s%3Dkitchen%26sr%3D1-59-spons%26psc%3D1&qualifier=1592554745&id=6991642212443332&widgetName=sp_mtf_browse"
