"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg4_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26qid%3D1592554745%26s%3Dkitchen%26sr%3D1-49-spons%26psc%3D1&qualifier=1592554745&id=6991642212443332&widgetName=sp_atf_browse"
"Geek Ikuku A2 Air Purifier with True HEPA Filter and ObliqFlow Purification Technology (Pink)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg4_2?ie=UTF8&adId=A04803616EA9OW3QYEJ&url=%2FGeek-Purifier-ObliqFlow-Purification-Technology%2Fdp%2FB088SKVXBT%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26qid%3D1592554745%26s%3Dkitchen%26sr%3D1-60-spons%26psc%3D1&qualifier=1592554745&id=6991642212443332&widgetName=sp_mtf_browse"
"EUREKA FORBES AIR PURIFIER AEROGUARD AP700","/EUREKA-FORBES-PURIFIER-AEROGUARD-AP700/dp/B083389Q1B/ref=sr_1_61?dchild=1&qid=1592554745&s=kitchen&sr=1-61"
"Havells Freshia AP-46 85-Watt Air Purifier with Remote (White/Black)","/Havells-Freshia-85-Watt-Purifier-Remote/dp/B07XZ97RLP/ref=sr_1_62?dchild=1&qid=1592554745&s=kitchen&sr=1-62"
"Sharp Air Purifier FP-J30M-B for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA+Carbon+Pre-Filter) | Captures 99.97% of Impurities | (White)","/Sharp-Purifier-FP-J30M-B-Offices-Purification/dp/B07ZSWFTDG/ref=sr_1_63?dchild=1&qid=1592554745&s=kitchen&sr=1-63"
"Honeywell Move Pure2 Car Air Purifier (Black)","/Honeywell-Move-Pure2-Purifier-Black/dp/B07D6QC74V/ref=sr_1_64?dchild=1&qid=1592554745&s=kitchen&sr=1-64"
"Freshwind Non-Electric 100% Activated Charcoal Air Purifier, Deodorizer, Odor Absorber and Dehumidifier for Wardrobe, Fridge and Shoe Rack, Cars, Home – 500g","/Freshwind-Non-Electric-Activated-Deodorizer-Dehumidifier/dp/B07Q87L64F/ref=sr_1_65?dchild=1&qid=1592554745&s=kitchen&sr=1-65"
"Moso Natural GTC1011-NEW Odor Eliminator Air Purifying Bag for Home/Car 200g, Green","/Natural-Purifying-Naturally-Allergens-Pollutants/dp/B06XKVZNZB/ref=sr_1_66?dchild=1&qid=1592554745&s=kitchen&sr=1-66"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-J60M-W | White","/Sharp-FP-J60M-W-Purifier-Real-Time-Coverage/dp/B07MH7DDTX/ref=sr_1_67?dchild=1&qid=1592554745&s=kitchen&sr=1-67"
"Philips AC0820/20 air Purifier- Removes 99.95% air pollutants, Real time air Quality, Ideal for Small Rooms","/Philips-AC0820-20-Purifier-pollutants/dp/B07R7MCNR8/ref=sr_1_68?dchild=1&qid=1592554745&s=kitchen&sr=1-68"
"Philips AC3256/20, removes 99.97% airborne pollutants with numerical PM2.5 display, ideal for living room","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg4_1?ie=UTF8&adId=A05361781VQABX3ZCFCM6&url=%2FPhilips-AC3256-20-AeraSense-Purifier%2Fdp%2FB01DDMHHQG%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26qid%3D1592554745%26s%3Dkitchen%26sr%3D1-69-spons%26psc%3D1&qualifier=1592554745&id=6991642212443332&widgetName=sp_btf_browse"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_browse_kitchen_sr_pg4_2?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26qid%3D1592554745%26s%3Dkitchen%26sr%3D1-70-spons%26psc%3D1&qualifier=1592554745&id=6991642212443332&widgetName=sp_btf_browse"
