"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg14_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_209_sspa%3Fdchild%3D1%26qid%3D1592567214%26s%3Dkitchen%26sr%3D1-209-spons%26psc%3D1&qualifier=1592567214&id=3508175117247143&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg14_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_210_sspa%3Fdchild%3D1%26qid%3D1592567214%26s%3Dkitchen%26sr%3D1-210-spons%26psc%3D1&qualifier=1592567214&id=3508175117247143&widgetName=sp_atf_browse"
"JiMMy Derived From Nature Active Charcoal- Natural Air Purifier -Deodorizer & Dehumidifier for Living Area, Shoe Rack, Fridge, Closets etc-Activated Charcoal 100g X 2 Total 200g","/JiMMy-Charcoal-Deodorizer-Dehumidifier-etc-Activated/dp/B07D83W155/ref=sr_1_211?dchild=1&qid=1592567214&s=kitchen&sr=1-211"
"Eureka Forbes Aeroguard AP 500 with HEPA Filter,Filtermaxx Technology,Ozone Free, 1 Year Warranty(White)","/Eureka-Forbes-Aeroguard-AP-500/dp/B07VLH7ND9/ref=sr_1_212?dchild=1&qid=1592567214&s=kitchen&sr=1-212"
"DAIKIN Air cleaner Replacement Pleated Filter KAC972A4 Photocatalyst Filter","/DAIKIN-cleaner-Replacement-KAC972A4-Photocatalyst/dp/B07GMTRZZF/ref=sr_1_213?dchild=1&qid=1592567214&s=kitchen&sr=1-213"
"Philips Air Purifier NanoProtect Filter FY1417 except formaldehyde adapter AC1210 AC1216 AC1212","/Philips-Purifier-NanoProtect-formaldehyde-adapter/dp/B07MLNJSWH/ref=sr_1_214?dchild=1&qid=1592567214&s=kitchen&sr=1-214"
"Dolphy 75W Room Air Purifier","/Dolphy-75W-Room-Air-Purifier/dp/B078Q3BFTH/ref=sr_1_215?dchild=1&qid=1592567214&s=kitchen&sr=1-215"
"Breathe Fresh Vayu Natural Air Purifying Bags Odour, Allergens and Pollutants Remover, Total Home Protection Pack","/BreatheFresh-Purifying-Protection-Allergens-Pollutants/dp/B07BD4DY7Z/ref=sr_1_216?dchild=1&qid=1592567214&s=kitchen&sr=1-216"
"Aatharva Activated Charcoal Odor Air Purifier & Freshener - Deodorizer Bags are Eco-Friendly Non- for Car, Home, Shoes, Refrigerators (Small75 Gm)","/Aatharva-Activated-Charcoal-Purifier-Freshener/dp/B07BZWWN5T/ref=sr_1_217?dchild=1&qid=1592567214&s=kitchen&sr=1-217"
"Air Quality Monitor, Pm 2.5 for measuring Air Quality of your home, Pollution meter","/Quality-Monitor-measuring-Pollution-meter/dp/B081R8L15C/ref=sr_1_218?dchild=1&qid=1592567214&s=kitchen&sr=1-218"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg14_1?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_219_sspa%3Fdchild%3D1%26qid%3D1592567214%26s%3Dkitchen%26sr%3D1-219-spons%26psc%3D1&qualifier=1592567214&id=3508175117247143&widgetName=sp_mtf_browse"
